iter	Passed	Remaining
703	1191	500
704	1192	499
705	1193	497
706	1194	495
707	1196	493
708	1197	491
709	1199	489
710	1200	487
711	1201	485
712	1202	483
713	1203	482
714	1204	480
715	1205	478
716	1206	476
717	1208	474
718	1209	472
719	1211	470
720	1213	469
721	1215	467
722	1216	465
723	1217	464
724	1218	462
725	1220	460
726	1222	458
727	1225	457
728	1227	456
729	1229	454
730	1231	453
731	1232	451
732	1233	449
733	1234	447
734	1236	445
735	1237	443
736	1238	442
737	1240	440
738	1242	438
739	1243	436
740	1244	435
741	1245	433
742	1246	431
743	1248	429
744	1249	427
745	1250	425
746	1251	423
747	1252	422
748	1254	420
749	1255	418
750	1257	416
751	1258	415
752	1259	413
753	1260	411
754	1261	409
755	1262	407
756	1264	405
757	1265	404
758	1266	402
759	1268	400
760	1270	399
761	1271	397
762	1272	395
763	1273	393
764	1275	391
765	1276	389
766	1277	388
767	1278	386
768	1279	384
769	1280	382
770	1281	380
771	1283	378
772	1284	377
773	1286	375
774	1287	373
775	1288	371
776	1289	370
777	1290	368
778	1292	366
779	1293	364
780	1294	362
781	1295	361
782	1296	359
783	1298	357
784	1300	356
785	1301	354
786	1302	352
787	1303	350
788	1305	349
789	1306	347
790	1307	345
791	1309	343
792	1310	341
793	1311	340
794	1313	338
795	1315	337
796	1316	335
797	1317	333
798	1318	331
799	1319	329
800	1321	328
801	1322	326
802	1323	324
803	1324	322
804	1325	321
805	1327	319
806	1328	317
807	1330	316
808	1331	314
809	1332	312
810	1334	310
811	1335	309
812	1336	307
813	1337	305
814	1338	303
815	1339	302
816	1341	300
817	1343	298
818	1345	297
819	1346	295
820	1347	293
821	1348	291
822	1349	290
823	1350	288
824	1351	286
825	1352	284
826	1353	283
827	1354	281
828	1357	279
829	1359	278
830	1360	276
831	1361	274
832	1362	273
833	1363	271
834	1364	269
835	1365	267
836	1366	266
837	1367	264
838	1368	262
839	1370	261
840	1372	259
841	1373	257
842	1375	256
843	1376	254
844	1377	252
845	1379	251
846	1380	249
847	1381	247
848	1382	245
849	1383	244
850	1384	242
851	1386	240
852	1388	239
853	1389	237
854	1391	235
855	1392	234
856	1394	232
857	1395	230
858	1396	229
859	1398	227
860	1399	225
861	1401	224
862	1403	222
863	1404	221
864	1405	219
865	1407	217
866	1408	216
867	1409	214
868	1410	212
869	1411	210
